Name,Conv,Unit,Precision,Range_low,Range_high,Max_step,Start_pos
Time,1,S,1000000,0,3600,3600,0
GLOBAL time,1,unknown,1,-18446744073709551615,18446744073709551615,18446744073709551615,0
Oil Pressure,1,psi,100,0,100,100,0
Gear Position,1,uknown,1,0,7,7,0
Shift Request,1,unknown,1,0,4,4,0
Neutral Sensor,1,unknown,1,0,1,1,0
Lat Accel,1,G,1,-5,5,5,0
Long Accel,1,G,1,-5,5,5,0
Vert Accel,1,G,1,-5,5,5,0
Throttle Position,1,%,10,0,100,100,0
yaw angle,1,deg,1,-180,180,360,0
pitch angle,1,deg,1,-180,180,360,0
roll angle,1,deg,1,-180,180,360,0
yaw rate,57.2958,deg/S,1,-90,90,90,0
pitch rate,57.2958,deg/S,1,-90,90,90,0
roll rate,57.2958,deg/S,1,-90,90,90,0
lattitude,1,deg,1,20,50,1,38.93020819
longitude,1,deg,1,-130,-70,1,-92.33946848
altitude,1,m,1,0,1609,1609,100
velocity north,1,m/S,1,-100,100,100,0
velocity east,1,m/S,1,-100,100,100,0
velocity down,1,m/S,1,-100,100,100,0
CPU usage,100,%,1,0,100,100,0
MPH,0.44704,MPH,10,0,100,100,0
RPM,1,RPM,1,0,15000,5000,0
Voltage,1,V,10,0,15,10,12
Fuel Pressure,1,psi,1,0,75,75,0
Pitot 1,1,unknown,1,-18446744073709551615,18446744073709551615,18446744073709551615,0
Pitot 2,1,unknown,1,-18446744073709551615,18446744073709551615,18446744073709551615,0
Pitot 3,1,unknown,1,-18446744073709551615,18446744073709551615,18446744073709551615,0
Manifold Absolute Pressure,14.696,psi,1000,0,20,20,0
Lambda,1,ratio,100,0,10,10,1
pitot 4,1,unknown,1,-18446744073709551615,18446744073709551615,18446744073709551615,0
Brake Pressure Front,1,psi,1,0,2000,2000,0
Brake Pressure Rear,1,psi,1,0,2000,2000,0
Water Temperature,1,F,10,0,300,10,0
Oil Temperature,1,F,10,0,300,10,0
num sats,1,unknown,1,-18446744073709551615,18446744073709551615,18446744073709551615,0
