Time,GLOBAL time,MPH,RPM,Voltage,Fuel Pressure,Pitot 1,Pitot 2,Pitot 3,Manifold Absolute Pressure,Lambda,pitot 4,Brake Pressure Front,Brake Pressure Rear
633729,0/255/0_12:0:0.0,25,0,131,0,65525,65532,65529,996,255,65533,47,27
733471,0/255/0_18:0:0.0,21,0,131,0,65525,65532,65529,996,255,65533,43,27
876466,0/255/0_0:0:0.0,18,0,131,0,65526,65532,65529,996,255,65533,42,32
976466,0/255/0_18:0:0.0,16,0,131,0,65526,65532,65529,996,255,65533,48,32
1076468,0/255/0_12:0:0.0,14,0,131,0,65526,65532,65529,995,255,65533,47,32
1176467,0/255/0_12:0:0.0,0,0,131,0,65526,65532,65529,996,255,65533,43,32
1292479,0/255/0_0:0:0.0,0,0,131,0,65526,65532,65529,996,255,65533,43,27
1392471,0/255/0_18:0:0.0,0,0,131,0,65526,65532,65529,996,255,65533,42,32
1492472,0/255/0_18:0:0.0,0,0,131,0,65526,65532,65529,996,255,65533,48,32
1592471,0/255/0_6:0:0.0,0,0,131,0,65526,65532,65529,996,255,65533,43,32
1692472,0/255/0_0:0:0.0,0,0,131,0,65526,65532,65529,996,255,65533,53,32
1797465,11/29/47_18:0:0.60,0,0,131,0,65526,65532,65529,996,255,65533,48,32
1897463,11/29/47_18:0:0.160,0,0,131,0,65526,65532,65529,996,255,65533,42,32
2006465,11/29/47_18:0:0.260,0,0,131,0,65526,65532,65529,996,255,65533,52,31
2106466,11/29/47_18:0:0.360,0,0,131,0,65526,65532,65529,996,255,65533,42,27
2206468,11/29/47_18:0:0.460,0,0,131,0,65526,65532,65529,996,255,65533,43,32
2306463,11/29/47_18:0:0.560,0,0,131,0,65526,65532,65529,996,255,65533,47,31
2406466,11/29/47_18:0:0.660,0,0,131,0,65526,65532,65529,996,255,65533,42,27
2506465,11/29/47_18:0:0.760,0,0,131,0,65526,65532,65529,996,255,65533,42,32
2606463,11/29/47_18:0:0.860,0,0,131,0,65526,65532,65529,996,255,65533,48,27
2715467,11/29/47_18:0:0.980,0,0,131,0,65526,65532,65529,996,255,65533,42,32
2815473,11/29/47_18:0:1.80,0,0,131,0,65526,65532,65529,996,255,65533,48,32
2915471,11/29/47_18:0:1.180,0,0,131,0,65526,65532,65529,996,255,65533,48,32
3015473,11/29/47_18:0:1.280,0,0,131,0,65526,65532,65529,996,255,65533,48,32
3115467,11/29/47_18:0:1.380,0,0,131,0,65526,65532,65529,996,255,65533,47,32
3222491,11/29/47_18:0:1.480,0,0,131,0,65526,65532,65529,996,255,65533,47,32
3351467,11/29/47_18:0:1.600,0,0,131,0,65526,65532,65529,996,255,65533,42,37
3451463,11/29/47_18:0:1.700,0,0,131,0,65526,65532,65529,996,255,65533,48,32
3554467,11/29/47_18:0:1.820,0,0,131,0,65526,65532,65529,996,255,65533,43,32
3654467,11/29/47_18:0:1.920,0,0,131,0,65526,65532,65529,996,255,65533,48,27
3754469,11/29/47_18:0:2.0,0,0,131,0,65526,65532,65529,996,255,65533,47,32
3854472,11/29/47_18:0:2.120,0,0,131,0,65526,65532,65529,996,255,65533,42,32
3954467,11/29/47_18:0:2.220,0,0,131,0,65526,65532,65529,996,255,65533,48,32
4062471,11/29/47_18:0:2.320,0,0,131,0,65526,65532,65529,996,255,65533,42,27
4162474,11/29/47_18:0:2.400,0,0,131,0,65526,65532,65529,996,255,65533,48,38
4268470,11/29/47_18:0:2.520,0,0,131,0,65526,65532,65529,996,255,65533,47,32
4369466,11/29/47_18:0:2.620,0,0,131,0,65526,65532,65529,997,255,65533,48,38
4469464,11/29/47_18:0:2.720,0,0,131,0,65526,65532,65529,996,255,65533,42,27
4569468,11/29/47_18:0:2.820,0,0,131,0,65526,65532,65529,996,255,65533,47,32
4669466,11/29/47_18:0:2.920,0,0,131,0,65526,65532,65529,996,255,65533,47,27
4778467,11/29/47_18:0:3.40,0,0,131,0,65526,65532,65529,996,255,65533,42,27
