Time,GLOBAL time,Water Temperature,Oil Temperature,num sats
632781,0/255/0_12:0:0.0,1606,1769,0
1632469,0/255/0_0:0:0.0,1608,1771,0
2632490,11/29/47_18:0:0.880,1609,1771,0
3632469,11/29/47_18:0:1.880,1609,1772,0
4632469,11/29/47_18:0:2.880,1610,1772,0
5632470,1/12/212_17:59:48.880,1611,1772,0
6632474,1/12/212_17:59:49.880,1611,1773,0
7679411,1/12/212_17:59:50.940,1612,1772,0
8679467,1/12/212_17:59:51.940,1612,1772,0
9679462,1/12/212_17:59:52.940,1613,1772,0
10679463,1/12/212_17:59:53.920,1613,1771,0
11679462,1/12/212_17:59:54.940,1614,1771,0
12679473,1/12/212_17:59:55.940,1614,1771,0
13707317,1/12/212_17:59:56.960,1615,1771,0
14706475,1/12/212_17:59:57.960,1615,1771,0
15706466,1/12/212_17:59:58.960,1616,1771,0
16706469,1/12/212_17:59:59.960,1617,1770,0
17706467,1/5/236_18:0:0.960,1617,1770,0
18706469,1/5/236_18:0:1.960,1617,1770,0
19756152,1/5/236_18:0:3.0,1617,1768,0
20755470,1/5/236_18:0:3.980,1618,1769,0
21755471,1/5/236_18:0:5.20,1618,1765,0
22755465,1/5/236_18:0:5.981,1618,1755,0
23755471,1/5/236_18:0:7.21,1620,1742,0
24755469,1/5/236_18:0:8.21,1626,1728,0
25817339,1/5/236_18:0:9.81,1638,1713,0
26817468,1/5/236_18:0:10.81,1650,1700,0
27817468,11/9/24_18:0:11.81,1661,1689,0
28817471,11/9/24_18:0:12.81,1671,1679,0
29822467,11/9/24_18:0:13.81,1678,1671,0
30822482,11/9/24_18:0:14.81,1683,1664,0
31847685,11/9/24_18:0:15.101,1686,1658,0
32847467,11/9/24_18:0:16.101,1687,1653,0
33847467,11/9/24_18:0:17.101,1686,1650,0
34847467,11/9/24_18:0:18.101,1685,1648,0
35847465,11/9/24_18:0:19.101,1681,1645,0
36847461,11/9/24_18:0:20.101,1677,1643,0
37919845,11/9/24_18:0:21.181,1670,1641,0
